Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0805_2012Metric,206.284799,-121.984,90.0,top
C2,10n,C_0805_2012Metric,206.534799,-144.284,90.0,top
C3,100n,C_0805_2012Metric,243.309528,-129.3415,-90.0,top
C4,4.7u,C_1206_3216Metric,246.714229,-150.471984,180.0,top
D1,D_Schottky,Schottky Diode SK1010C,236.420147,-129.291325,90.0,top
D2,D_Schottky,Schottky Diode SK1010C,236.37148,-151.734,90.0,top
F1,Fuse,FUSE Holder ROHS,219.808493,-125.618818,0.0,top
F2,Fuse,FUSE Holder ROHS,219.784799,-147.984,0.0,top
J1,Barrel_Jack,CONN-TH_XT60PW-M,198.147257,-129.215093,0.0,top
J2,Barrel_Jack,CONN-TH_XT60PW-M,198.114812,-151.529981,0.0,top
J3,Barrel_Jack,DC Jack 5A,256.639455,-123.648,180.0,top
J4,Barrel_Jack,DC Jack 5A,256.650799,-137.648,180.0,top
J5,Barrel_Jack,DC Jack 5A,256.650799,-151.648,180.0,top
J6,Switch Header Pin,3 Pin Male Header,209.997799,-136.712,90.0,bottom
J7,Conn_01x02_Male,2 Pin Male Header,234.854799,-138.937,0.0,bottom
Q1,2N7002,SOT-23,222.672299,-138.340786,180.0,top
Q2,NCE30P30K,NCE30P30K P channel MOSFET,246.806653,-139.250548,-90.0,top
Q3,2N7002,SOT-23,225.422299,-133.5465,180.0,top
R1,330k,R_0805_2012Metric,246.092299,-129.3215,-90.0,top
R2,10k,R_0805_2012Metric,218.922299,-133.5465,90.0,top
R3,100k,R_0805_2012Metric,221.672299,-133.5465,-90.0,top
R4,82k,R_0805_2012Metric,226.422299,-138.3215,90.0,top
R5,100k,R_0805_2012Metric,218.922299,-138.340786,90.0,top
R6,1.8k,R_0805_2012Metric,229.172299,-133.5465,-90.0,top
